Placas,Tipo,Color,Estado,Foto
2EP514, Dodge Duranggo SUV, Gris Oscuro, N/A, https://di-uploads-pod3.dealerinspire.com/championauto/uploads/2022/03/2022-Dodge-Durango.png
LEE110, Jeep Grand Cherokee SUV, Negra, N/A, https://e7.pngegg.com/pngimages/295/665/png-clipart-black-jeep-grand-cherokee-suv-2017-jeep-grand-cherokee-2018-jeep-grand-cherokee-trackhawk-sport-utility-vehicle-black-jeep-grand-cherokee-car-vehicle-transport.png
LEE109, Jeep Cherokee SUV, Negra, N/A, https://e7.pngegg.com/pngimages/295/665/png-clipart-black-jeep-grand-cherokee-suv-2017-jeep-grand-cherokee-2018-jeep-grand-cherokee-trackhawk-sport-utility-vehicle-black-jeep-grand-cherokee-car-vehicle-transport.png
EVC377, Checvrolet Tahoe SUV, Azul grisaceo, N/A, https://carone.com.mx/wp-content/uploads/2025/12/tahoe-2.png
LWH341, Nissan Rogue SUV, Negra, N/A, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2021-Nissan-Rogue-S-trim.png
063KXL, Ford Explorer SUV, Azul Oscuro, N/A, https://w7.pngwing.com/pngs/440/782/png-transparent-ford-escape-2018-ford-explorer-xlt-sport-utility-vehicle-automatic-transmission-ford-car-automatic-transmission-vehicle.png
EDF533, Dodge Charger, Negra, Minnesota, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
JJN313, Jeep Grand Cherokee, Roja, N/A, https://www.comercialhidrobo.com/wp-content/uploads/2022/02/grand-cherokee-465x287-limited-velvetred.png
398EMM, Ford Explorer SUV, Gris Oscuro, N/A, ttps://e7.pngegg.com/pngimages/564/134/png-clipart-ford-explorer-car-2017-ford-expedition-xlt-2015-ford-expedition-xlt-ford-car-vehicle.png
941KXR, Nissan Titan Pick up, Gris, NA, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2020-Nissan-Titan-color-Brilliant-Silver-Metallic.png
EVC285, Chevrolet Tahoe SUV, Azul Grisaceo, N/A,  https://carone.com.mx/wp-content/uploads/2025/12/tahoe-2.png
198KFJ, Ford Expedition SUV, Gris Oscuro, N/A, https://www.fordgema.mx/Assets/ModelosNuevos/Img/Modelos/EXPEDITION/25/coloresred/GRIS-MAGNETO.png
2EP515, Dodge Durango SUV, Gris, N/A, https://di-uploads-pod3.dealerinspire.com/championauto/uploads/2022/03/2022-Dodge-Durango.png
SJL560, no identificada, Gris, N/A, N/A
SJM522, Chevy Trax, Gris, N/A, https://www.carsized.com/resources/chevrolet/trax/d/2023/sl_263117125_chevrolet-trax-2023-side-view_4x.png
TCH3957, Tahoe, Negra, N/A, https://back.chevrolet.com.do/wp-content/uploads/2019/04/2019-tahoe-suv-1lz-gba-colorizer.png
LKJ8390, Ram, Blanca, N/A, https://e7.pngegg.com/pngimages/382/326/png-clipart-2017-ram-1500-ram-trucks-jeep-chrysler-pickup-truck-jeep-truck-car.png
SMX778, Ford Expedition, Negra, N/A, https://www.fordcountrymotors.mx/Assets/ModelosNuevos/Img/Modelos/EXPEDITION/25/coloresred/NEGRO-OBSIDIANA.png
FTCT47, Mazda Cx9, Negra, N/A, https://mazdapng.com/wp-content/uploads/2018/04/cx9-black.png  
SEL165, Rav4, Negro, N/A, https://automercantiltoyota.com/wp-content/uploads/2016/10/0002_rav4negro.png
TLN852, Toyota Tundra, Verde, N/A, https://i.3dmodels.org/uploads/Toyota/544_Toyota_Tundra_Mk3_XK70_CrewMax_TRD_SR5_2022/Toyota_Tundra_Mk3_XK70_CrewMax_TRD_SR5_2022_1000_0001.jpg
RZH417, N/A, N/A, Oklahoma, N/A
798502E, N/A, N/A, Montana, N/A
JAB1002, Van Dodge, Gris, New York, https://w7.pngwing.com/pngs/289/735/png-transparent-dodge-caravan-chrysler-2018-dodge-grand-caravan-se-dodge-compact-car-building-van.png
9KDY423, Hyundai Tucson, Negra, California, https://di-enrollment-api.s3.amazonaws.com/hyundai/models/2020/tucson/trims/Value.png
42653K3, Nissan Titan, N/A, California, https://mir-s3-cdn-cf.behance.net/project_modules/fs/029cc5181702111.65202e7e39e9b.png
00691M2, Dodge Ram, Blanca, California, https://e7.pngegg.com/pngimages/382/326/png-clipart-2017-ram-1500-ram-trucks-jeep-chrysler-pickup-truck-jeep-truck-car.png
9BDU023, Ford Expedition, Negra, California, https://www.fordcountrymotors.mx/Assets/ModelosNuevos/Img/Modelos/EXPEDITION/25/coloresred/NEGRO-OBSIDIANA.png
RJM2925, N/A pickup, azul, Texas, https://www.shutterstock.com/image-vector/blue-truck-modern-art-design-260nw-2057311190.jpg
LWS6004, Jeep Wagonner, Blanca, New York, https://carimages.d2cmedia.ca/newcarimages/en/cb69e53da5608a0/Jeep/Grand%20Wagoneer/2025/2100/461380/White/front45.png
R16KVY, Dodge Charger, Negro, N/A, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
xcx1590, Chevrolet, Blanca, Texas, N/A
SGC754, Ford, Azul, N/A, N/A
6GJA79, Nissan, Rojo, Massachusetts, N/A
DOWS26, Nissan, Cafe, Colorado, N/A
27008A, Ford, Azul, Wisconsin, N/A
140659, Mazda, Negra, N/A, https://www.vhv.rs/dpng/d/493-4938160_mazda-png-file-mazda-6-touring-2018-black.png
CZJ3677, Chrysler Pacifica, Negra, Georgia, https://vehicle-images.carscommerce.inc/stock-images/chrome/fb82900c156d710cad19bfd2d07696a3.png
XET406, Chevy Malibu, N/A, Sur de Carolina, https://e7.pngegg.com/pngimages/574/223/png-clipart-2017-chevrolet-malibu-2018-chevrolet-malibu-2019-chevrolet-impala-car-chevrolet-compact-car-sedan.png
WBT2329, Hyundai Tucson, Negra, Texas, https://e7.pngegg.com/pngimages/62/333/png-clipart-2018-hyundai-santa-fe-sport-2017-hyundai-santa-fe-sport-car-hyundai-tucson-hyundai-compact-car-car.png
AODRB9A, Kia K5, Negra, Alabama, https://images.dealer.com/ddc/vehicles/2023/Kia/K5/Sedan/perspective/front-left/2023_24.png
CZJ3677, Chrysler Pacifica, Negra, Georgia, https://vehicle-images.carscommerce.inc/stock-images/chrome/fb82900c156d710cad19bfd2d07696a3.png
HEH2510, Ford Expedition, Blanca, New York, https://www.fordravisa.mx/Assets/ModelosNuevos/Img/Modelos/EXPEDITION/25/coloresred/BLANCO-METALICO.png
SXR2284, Ford Escape, Gris, N/A, https://w7.pngwing.com/pngs/914/377/png-transparent-car-2016-ford-escape-2015-ford-escape-compact-sport-utility-vehicle-car.png
NJR4093, Dodge Charger, Negro, N/A, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
SST573, Jeep Cherokee, Blanca, N/A, https://e7.pngegg.com/pngimages/524/526/png-clipart-2017-jeep-compass-car-2018-jeep-compass-jeep-cherokee-jeep-car-compass-thumbnail.png
NJR4097, Dodge Charger, N/A, N/A, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
LMY2383, Jeep, Negra, Texas, N/A
SST573, Jeep Cherokee, Blanca, Minnesota, https://w7.pngwing.com/pngs/361/313/png-transparent-2015-jeep-grand-cherokee-1993-jeep-grand-cherokee-2014-jeep-grand-cherokee-limited-car-hummer-car-automatic-transmission-vehicle.png
LMY2383, Jeep Cherokee, Negro, N/A, https://e7.pngegg.com/pngimages/633/214/png-clipart-2016-jeep-cherokee-jeep-grand-cherokee-chrysler-2018-jeep-cherokee-jeep-car-vehicle.png
AS13QK, Chevy Suburban, Negra, Florida, https://di-uploads-pod12.dealerinspire.com/mcfarlandchevroletbuick/uploads/2024/03/2024-Chevrolet-Suburban-Black.png
XDK3990, Chevy Suburban, Gris, Texas, https://es.valleychevy.com/wp-content/uploads/2022/12/Suburban2023-Bean-SterlingGray.png
RK16KVY, Dodge, Negra, New Jersey, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
R62LCP, Nissan Pathfinder, Gris, New Jersey, https://w7.pngwing.com/pngs/743/880/png-transparent-2012-nissan-pathfinder-car-2009-nissan-pathfinder-2008-nissan-pathfinder-nissan-car-vehicle-transport.png
A7055K, Nissan Altima, Gris, New Jersey, https://www.nissanlatam.com/Catalogos/altima/images/color/pic7.png
AZ55GY, Jeep Wagoneer, Negra, Florida, https://assets.alpineco.com/Armored_Jeep_Grand_Wagoneer_0cc2ed7f11.png
SFZ235, Mazda CX-5, Gris, Minnesota, https://www.mazda.com.uy/wp-content/uploads/2025/03/Mazda-Cx-5-High-plus-carbon-edition.png
089BBDH, Ford Escape, Gris, Tennessee, https://e7.pngegg.com/pngimages/445/913/png-clipart-2014-ford-escape-2013-ford-escape-2015-ford-escape-2016-ford-escape-car-ford-compact-car-car.png
Jet5031, N/A, N/A, N/A, N/A
COF672, Nissan Titan, Gris, Kentucky, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2020-Nissan-Titan-color-Brilliant-Silver-Metallic.png
140659, Mazda, Negra, Illinois, https://www.vhv.rs/dpng/d/493-4938160_mazda-png-file-mazda-6-touring-2018-black.png
A0DRB9A, Kia K5, Negra, Alabama, https://images.dealer.com/ddc/vehicles/2023/Kia/K5/Sedan/perspective/front-left/2023_24.png
VTN5131, Nissan Roge, Gris Oscuro, Texas, https://w7.pngwing.com/pngs/836/548/png-transparent-2016-nissan-rogue-car-2018-nissan-rogue-2017-nissan-rogue-hybrid-nissan-compact-car-car-mode-of-transport.png
1ZL584, Jeep Cherokee, Blanca, Rhode Island, https://w7.pngwing.com/pngs/361/313/png-transparent-2015-jeep-grand-cherokee-1993-jeep-grand-cherokee-2014-jeep-grand-cherokee-limited-car-hummer-car-automatic-transmission-vehicle.png
CZJ3677, Chrysler Pacifica, Negra, Georgia, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2023-chrysler-pacifica-hero.png
CGYO276, Ford Scape, Negra, washington, https://www.ford.com/acslibs/content/dam/na/ford/en_us/images/escape/2025/jellybeans/2025_Escape_ST-Line_Elite_Left.png
C921490, Ford F150, Gris, N/A, https://www.fordcordoba10.mx/Assets/ModelosNuevos/Img/Modelos/F-150/26/coloresred/PLATA.png
KHR1311, Jeedp Wagoneer, N/A, N/A, https://carimages.d2cmedia.ca/newcarimages/en/cb69e53da5608a0/Jeep/Grand%20Wagoneer/2025/2100/461380/White/front45.png
XHP9875, Hyundai Tucson, Blanca, Texas, https://i.pinimg.com/736x/c8/ce/46/c8ce46eabb785d5dc14b08cebf1cc13f.jpg
TYC813, Ford F150, Gris, N/A, https://www.shutterstock.com/image-vector/icon-logo-sign-truck-car-260nw-2475760465.jpg
TVU517, Silver Nissan Altima, N/A, Minnesota, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2020-Nissan-Altima-Color-Brilliant-Silver-Metallic.png
97ELZW, Jeep 4x4, Blanca, Florida, https://png.pngtree.com/png-clipart/20250130/original/pngtree-a-nice-white-jeep-vehicle-image-png-image_20346960.png
RRY892, Nissan Rogue, Blanca, Minnesota, https://di-sitebuilder-assets.dealerinspire.com/Nissan/MLP/Rogue/2026/Colors/Everest+White+Pearl.png
SXJ267, Nissan Rogue, Negra, Minnesota, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2021-Nissan-Rogue-S-trim.png
VFC7352, Honda Odyssey, Gris, Carolina, https://e7.pngegg.com/pngimages/697/695/png-clipart-2017-honda-odyssey-car-minivan-2016-honda-odyssey-se-honda-compact-car-van.png
TNG351, Chrysler Pacifica, Gris, Carolina, https://w7.pngwing.com/pngs/585/649/png-transparent-2019-chrysler-pacifica-jeep-car-minivan-vip-rent-a-car-compact-car-sedan-car.png
3GP6136, Silver Volkswagen Taos, N/A, Maryland, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2022-Volkswagen-Taos-color-Pyrite-Silver-Metallic.png
150191, Chrysler Pacifica, Blanca, Illinois, https://di-shared-assets.dealerinspire.com/legacy/rackspace/ldm-images/2019-Chrysler-Pacifica-Bright-White.png
JKL640, Jeep, Roja, Lowa, N/A
LXS234, Toyota Highlander, Gris, Minnesota, https://e7.pngegg.com/pngimages/240/406/png-clipart-2016-toyota-highlander-car-2018-toyota-highlander-sport-utility-vehicle-car-compact-car-car.png
PGM862, Dodge Grand, Roja, Minnesota, https://e7.pngegg.com/pngimages/673/713/png-clipart-2016-dodge-grand-caravan-dodge-caravan-minivan-caravan-compact-car-van.png
SXJ034, N/A, N/A, N/A, N/A
EXX491, N/A, N/A, N/A, N/A
RRY859, Ford Escape, Negra, N/A, https://w7.pngwing.com/pngs/255/108/png-transparent-2017-ford-escape-titanium-sport-utility-vehicle-ford-ecoboost-engine-2018-ford-escape-titanium-ford-compact-car-car-automatic-transmission.png
CHV1013, Ford, Negra, Washington, N/A
VMA1609, N/A, N/A, N/A, N/A
VMA1809, Ford, Negra, Virginia, N/A
IWA290, Jeep, Negra, Lowa, N/A
JIX246, Jeep Cherokee, N/A, Lowa, https://w7.pngwing.com/pngs/361/313/png-transparent-2015-jeep-grand-cherokee-1993-jeep-grand-cherokee-2014-jeep-grand-cherokee-limited-car-hummer-car-automatic-transmission-vehicle.png
9JRT511, Ford Expedition, N/A, N/A, N/A 
8NCJ185, Cheroke, Gris, N/A, https://www.aetos.mx/wp-content/uploads/2018/01/Gran-Cherokee-Gris-Plata-2018.png
AOCN6WC, Hyunday, Azul, N/A, N/A
SYZ2015, Tord, Negra, N/A, N/A
LKM5804, Chevy Tahoe, N/A, N/A, N/A
TCB2534, Dodge charge, N/A, N/A, N/A
JBH265, Jeep, Blanca, N/A, N/A
IWA298, Jeep, Negra, N/A, https://e7.pngegg.com/pngimages/295/665/png-clipart-black-jeep-grand-cherokee-suv-2017-jeep-grand-cherokee-2018-jeep-grand-cherokee-trackhawk-sport-utility-vehicle-black-jeep-grand-cherokee-car-vehicle-transport.png
ERV575, Dodge, Negro, N/A, https://e7.pngegg.com/pngimages/408/244/png-clipart-dodge-charger-daytona-chrysler-ram-pickup-dodge-daytona-dodge-compact-car-sedan-thumbnail.png
JIX246, Cherokee, Roja, N/A, N/A
AS13QK, Chevy Suburban, Florida, N/A
NBR623, N/A, N/A, N/A, N/A
AST3QK, N/A, N/A, Florida, N/A
CGY0276, Suburban, Negra, N/A, N/A
SFZ235, Mazda cx5, N/A, N/A, N/A
GNS613, Chevy, N/A, N/A,N/A
LM1T9T, Chevy Blazer, N/A, Missouri, N/A
DQ93GU, GMC Yukon Denali SUV, Blanca, Florida, https://e7.pngegg.com/pngimages/628/369/png-clipart-2018-gmc-yukon-xl-car-2017-gmc-yukon-2016-gmc-yukon-car-compact-car-glass-thumbnail.png
BFR061, Jeep Wagoneer, Blanca, Nebraska, https://carimages.d2cmedia.ca/newcarimages/en/cb69e53da5608a0/Jeep/Grand%20Wagoneer/2025/2100/461380/White/front45.png
190ESH, SUV, Negra, N/A, N/A
CZW943, Ford SUV, Cafe, N/A, https://e7.pngegg.com/pngimages/368/898/png-clipart-2017-ford-expedition-el-limited-suv-2017-ford-expedition-platinum-suv-ford-motor-company-ford-ecoboost-engine-ford-car-mode-of-transport.png
XHP9875, Tcson, Blanca, Texas, https://i.pinimg.com/736x/c8/ce/46/c8ce46eabb785d5dc14b08cebf1cc13f.jpg
1ZL584, Jeep Cherokee, Blanca, Rhode Island, https://w7.pngwing.com/pngs/361/313/png-transparent-2015-jeep-grand-cherokee-1993-jeep-grand-cherokee-2014-jeep-grand-cherokee-limited-car-hummer-car-automatic-transmission-vehicle.png
MN55125, N/A, N/A, N/A, N/A
TYC899, N/A, N/A, N/A, N/A
TYC842, N/A, N/A, N/A, N/A
ZNC127, N/A, N/A, N/A, N/A
FLY94, N/A, N/A, N/A, N/A
1kg356, N/A, N/A, N/A, N/A
44RAU4, N/A, N/A, N/A, N/A
FLY957, Silveer Ford Explorer, N/A, Minnesota, N/A
JRV507, Dodge Durango, Blanco, Iowa, https://acroadtrip.blob.core.windows.net/catalogo-imagenes/s/RT_V_019f631f635043a1803a129326939cc2.jpg
